P,S
아내가 검사를 받고 싶다고 했는데 약국에서 약만 사주다가 결국 큰 병으로 만들고 말았어.,아내에게 큰 병이 생겨 마음이 괴로우시겠어요.
박 과장님이 나에게 너무 모욕적인 말을 했어.,앞에서 모욕적인 말을 들어서 화나셨겠어요.
아 귀찮게 또 병원에 오라고 하네.,뭐 때문에 병원에 또 가셔야 하나요?
짜증 나서 회사 못 다니겠어.,회사에서 언짢은 일이 있었나요?
노후준비가 안 돼서 막막해.,어느 정도 대비해놓으셨길래 불안하신 건가요?
내가 폐암 이라니.,무슨 일 있으신가요?
노망난 남편이 또 귀찮게 굴까 봐 오늘 어쩔 수 없이 밥을 차려주었어.,남편에게 화가 나신 것 같아요.
하필 왜 그날 가족 사진을 찍기로 한 건지 다들 정말 생각이 없어.,무슨 일인지 조금 더 자세히 말씀해 주실 수 있을까요?
남 얘기는 잘도 들으면서 정작 남편 얘기는 귀담아듣지도 않고 왜 저럴까.,부인하고 의견이 맞지 않으신 일이 있나 봐요.
대인관계에 구역질 나.,왜 그러세요?
친구들이 내가 살려달라고 도움 요청했는데 아무도 도와주지 않았어.,아무도 도움을 주지 않아서 속상했겠네요.
아들하고 말이 안 통하는 거 같아.,아들하고 의견이 많이 다른가 봐요.
회사가 재정적으로 어려워져서 문을 닫게되었어.,회사가 재정문제로 문을 닫았군요.
소변을 변기에 흘리는 오빠때문에 곤욕이야,소변을 흘리면 더러워서 싫겠네요
얼마 전에 알게 됐는데 아내가 나한테 말도 하지 않고 적금을 해지해 버렸지 뭐야.,부인이 본인 모르게 적금을 해지해 무척 짜증이 나겠어요.
내신성적이 한 과목만 잘 안 나와서 고민이야.,한 과목이 성적이 안 나오는군요.
왜 건강을 챙기는데도 힘들까.,건강이 많이 안 좋으세요?
친구가 꽃무릇을 보러 가자고 해놓고 오늘 다른 친구들과 다녀와서 동영상을 보여주는 거야.,친구에게 서운하겠어요.
내 친구가 오늘 나에게 반에서 학교폭력을 당하고 있다고 말해서 학교폭력을 하는 친구들에게 화가 났어.,친구가 학교폭력을 당한다는 것을 들으면 정말 화가 날 것 같아요.
