P,S
하루 만에 부서 동료가 모두 다른 사람으로 바뀌어서 당황스러웠어.,부서 동료가 모두 바뀌었다니 정말 당황했겠어요.
재정적으로 열등감이 들어.,왜 그러세요?
친구들은 다 결혼했는데 나만 못한것 같아서 내가 너무 초라해보여.,친구들과 비교돼서 마음이 좋지 않으시군요.
가족들이 나를 집에서 없는 사람 취급해서 너무 외로워.,가족들에게 없는 사람 취급당해서 많이 외로우시군요.
난 아직 진로를 못 정했는데 다른 친구들보다 뒤처지는 느낌이 들어.,다른 친구들보다 뒤처지는 것 같아 힘드셨군요.
내게 잘해주는 친구가 있었는데 내 부탁을 거절해서 그 친구의 비밀을 다른 사람에게 말하고 다녔어.,그 친구에게 섭섭한 마음이 들어서 친구의 비밀을 말하고 다녔나 보네요.
이렇게 힘들게 돈 벌어서 어쩌나 하는 생각이 들어.,무슨 안 좋은 일이 있으셨나요?
나 외로워.,제가 친구가 되어드릴게요.
친구들이 나를 따돌려서 선생님과 상담했는데 귀찮아해서 너무 실망했어.,힘든 상황을 해결하려고 했는데 귀찮아하다니 너무 하네요.
김 부장이 갑자기 자신의 업무를 나에게 떠넘겼어.,정말 당황스러웠겠어요.
매번 저렇게 놀기만 하는 남편이 너무 싫어.,왜 매번 노나요?
돈을 보니 고립되는 기분이야.,그렇게 생각하시는 이유가 있나요?
동생이 철없는 행동을 할때마다 너무 한심해보여.,동생이 아직 어리신가봐요.
아직 중년인데 건강 걱정만 하고 있어.,그런 걱정을 하시나요.
앞으로 어떻게 살아야 할 지 막막하네.,안 좋은 일이 있으신가요?
남편이 죽으면서 내게 남긴 사망보험금인지 모르고 친구들이 부럽다고 해.,남편 분의 사망보험금인걸 모르는 친구들이 부러워해서 마음이 안 좋으시군요.
집에 왔는데 아무도 없어. 너무 어두워,가족들이 어디 나갔나봐요. 불을 켜보세요
은퇴하고 나면 뭘 해야 할 지 모르겠어.,은퇴 후를 걱정하고 계시군요.
나는 배 나온 걸 정말 싫어해.,배가 나오시나봐요.
내 나이 또래들에 비해 생각보다 가난한 것 같아 열등감이 느껴져.,또래에 비해 가난한 것 같아 열등감을 느끼시는군요.
매일 같이 술을 마시는 친구가 있는데 건강이 안 좋아졌다는 연락을 받았어.,건강이 안 좋아졌다는 친구의 연락을 받고 어떤 마음이 드셨나요?
난 그동안 친구가 학교 폭력을 당하고 있는 걸 알면서도 당황해서 모른 척했어.,학교 폭력을 당하는 친구를 알게 되면 많이 당황스럽죠.
점점 이 세상에서 내가 고립되는거 같아.,무슨 일 있으셨나요?
요새 사람 만나기가 싫어.,어떤 이유인지 물어봐도 될까요?
이제 중년인데 벌써 몸이 많이 안좋아졌어.,상심이 크시겠어요.
친구랑 싸워서 기분이 안 좋아,친구분과 싸워서 기분이 별로시군요
은퇴 후에 일자리를 구하지 못해서 가족한테 미안하기도 하고 면목이 없어.,일자리를 구하지 못해서 마음이 많이 무거우셨겠군요.
고령에 고혈압까지 있는데 노후준비가 안 되있으니 마음이 외로워.,걱정 되시겠어요.
전날 술을 많이 먹고 속이 안 좋아서 온종일 굶었는데도 배가 고프지 않은 게 무언가 이상해.,온종일 굶었는데도 배가 안 고프시다니 괜찮으신 건가요?
와이프 때문에 고민이 많아.,무슨 고민이세요?
배가 너무 나와서 다이어트를 해볼까해.,체중을 조절하려고 하시는 군요.
남편만 보면 화가 나.,남편분과 싸우셨나 봐요.
재수를 할지 그냥 점수대로 대학을 갈지 혼란스러워.,진로에 많은 혼란을 느끼시는군요.
오늘 첫 월급 받았는데 너무 당황스럽다.,첫 월급에 문제가 있나요?
내가 지금 다니는 회사에서 슬슬 퇴직하라고 눈치를 주는 것 같아 혼란스러워.,은퇴 이후는 아직 생각해보시지 않은 건가요?
공부 잘하면 다인지 내 동생은 밖에선 날 아는 체도 안 해서 당황스러워.,그런 일이 있어서 당황스럽겠네요.
주말에 쉬지도 못하고 회사에서 일을 했어.,요즘 회사에 업무량이 많으시군요.
학교폭력의 피해자보다 학교의 명예훼손에 더 신경을 쓰는 선생님들의 태도가 너무 혐오스러워.,피해자보다 학교의 명예훼손을 더 신경 쓰는 선생님들이 정말 혐오스러우시겠군요.
나중에 늙어서 돈이 없으면 자식들이 나를 찾아올까?,그래도 부모님인데 찾아오지 않을까요?
어제 부하 직원이 술취해서 심하게 주사를 부려서 너무 당혹스러웠어.,부하 직원이 주사를 부려서 당혹스러우셨군요.
