P,S
우리아이가 일찍 철이 들고 성숙해서 우리는 편안하게 육아를 했어,아이가 일찍 성숙해져서 편안하게 육아한 것에 행복하시군요?
주식 투자로 남편이 기분이 좋은가 봐.,남편분께서 주식 투자를 하셔서 좋은 결과가 있으셨나 봐요.
지금 여자친구랑 연애하길 잘했다.,지금 여자친구분이랑 연애하는 것이 좋으시군요.
이번에 아들이 대학교에 진학했어.,아드님이 대학에 들어가셨군요.
아내와 나는 어떤 일에도 거짓말하지 않고 서로에게 사실만을 말하는 관계라서 너무 기뻐.,서로에게 거짓말을 하지 않는 관계라면 정말 기쁠 거예요.
나는 내 자식들을 누구보다 아끼고 사랑해.,자식을 소중하게 여기고 아끼는 군요.
가족이 화목해서 좋아.,어려운 가족도 있는데 화복해서 행복 하시겠어요.
과장님은 회사에서 가장 믿을만한 사람이야.,과장님을 많이 신뢰하시는 것 같아요.
남편이 병원비 걱정 안 하게 해 줘서 얼마나 고마운지 몰라.,병원비 걱정 안 하게 남편분이 경제적으로 도와주시는군요?
나 친구 때문에 화가 나고 흥분했어.,어떤 일이 있으셨어요?
체질량 지수가 이렇게까지 개선되다니 놀랍네?,개선되는데 있어서 어떤 노력을 하셨나요?
어제 힘든 일이 있었는데 엄마가 내 말을 다 들어줬어.,안 좋은 일로 인한 마음이 어머니와의 대화로 조금 편안해지셨군요.
만성질환으로 고생하는 내게 사람들이 후원금을 주었어.,도와주는 사람이있군요.
남은 인생을 위해 사업을 구상 중이었는데 나를 돕고 싶다는 사람이 나타났어.,조금 더 자세히 말씀해주시겠어요?
기분 정말 최고야!,무슨 일인 지 알 수 있을까요?
재정상태를 신뢰해.,왜 그러시죠?
내 건강을 믿어.,불편한데가 없으세요?
회사에서 전체 부서 중에 우리 부서가 영업 실적 일등을 했어.,기쁘시겠어요!
우리 부장님께서는 어려운 업무도 알기 쉽게 설명해 주셔서 너무 감사해.,좋은 부장님을 만나 좋겠어요.
항상 쫒기듯 살아왔는데 이젠 조금 느긋해지는군.,많이 여유로워 보이세요.
나는 이번에 꼭 승진 할 수 있을거야.,승진할거라고 자신을 믿고 계시군요.
선생님에게 여쭤 볼려고.,현명한 방법인 것 같네요.
인생은 육십부터라고 하니 앞으로 여생은 더 즐기면서 살아야겠어.,요즘은 백세시대인데 아직도 사십 년이나 남은걸요?
회사에서 상여금이 나와서 너무 기뻐.,회사에서 상여금이 나와서 기쁘시군요.
나를 따돌리는 친구들이 있어서 선생님께 말씀드렸는데 잘 들어주셔서 기뻐.,학교에서 따돌리는 친구들이 있어서 선생님께 말씀을 드렸는데 잘 들어주셨군요.
오늘 회사에서 기분 좋은 일이 있었어.,어떤 일로 기분이 좋으셨나요?
난 가족들을 믿어.,그렇게 생각하시는 이유가 있나요?
공부해도 성적이 안 나와서 걱정이야.,공부해도 성적이 잘 나오지 않아 고민이시군요.
애들을 참 잘 키운 것 같아.,왜 그런 생각을 하게 되셨나요.
더 이상 갚을 돈이 없다는 사실에 너무 기뻐.,더 이상 갚은 돈이 없다니 정말 기쁘시겠어요.
이제 친구관계가 편해.,원래 안 좋았나요?
나이가 좀 있지만 아직은 건강해서 죽음에 대해서 크게 와닿지 않아.,죽음에 대해 느긋하게 생각하고 계시는군요.
나 이번에 친한 친구랑 여행을 가기로 했어.,친구분과의 계획이 기다려지시는 것 같아요.
직장이 너무 좋아 상사분들도 다 좋으시고.,만족스러운 직장생활을 하시는군요.
우리 회사는 퇴직 수당이 다른 회사보다 훨씬 많아.,근무하시는 회사의 퇴직 수당이 다른 회사보다 많으시군요.
공기 좋은 곳에서 요양하려고 사 놓았던 땅 값이 많이 올라서 정말 다행이야.,공기 좋은 곳에서 요양하려고 사 놓았던 땅 값이 많이 올라서 정말 다행이에요.
내가 아끼는 보조배터리가 분명 엊그제까지만 해도 있었는데 안보이네.,혹시 마지막으로 어디서 보셨는지 기억하시나요?
할머니가 나를 보시기 위해 집으로 오셨어.,할머니께서 많이 보고 싶으셨나봐요.
나를 응원해주는 사람들이 있어서 나는 요즘 너무 행복해.,응원해주는 사람이 있다는 것은 정말 행복한 일이지요.
결혼을 안 하고 혼자의 삶을 즐기는 이 삶이 나쁘지 않은 것 같아.,혼자의 삶을 즐기면 어떤 게 좋을까요?
팀장으로 승진하니 내 집무실이 따로 생겼어.,팀장으로 승진하신 것 축하드려요.
우리 가족은 내가 공부할 땐 편안하게 해 줘.,가족들 덕분에 더 편안한 환경에서 공부하실 수 있어 좋으시겠군요.
이제 곧 정년이 다가오고 있어.,곧 퇴직을 하셔야 하는군요.
오랜만에 온가족이 같이 저녁 먹으러 밖에 나갔어.,어디로 가셨나요?
나는 내 지금 건강상태에 만족해.,나이가 들어도 건강하시다는 거죠?
적금 만기 환급금이 제법 많네.,알뜰히 열심히 사셨군요.
나는 대인관계가 참 좋은 것 같아.,네 그러실 것 같아요.
난 내가 공부를 한만큼 성적이 잘 나올거라고 믿어.,공부를 많이 하신것 같군요?
나 이 대학에 백 프로 붙을 거 같아.,대학에 붙을 거 같다니 기분 좋으시겠어요.
아이를 낳고 이년이 지나니까 우리 가족은 안정을 찾기 시작한 것 같아,가족이 안정이 되어서 행복하신 것 같아요?
이제 자식들이 모두 취업도 결혼도 했어.,좋은일이시군요 앞으로는 어떤 계획이 있으신가요?
건강은 내가 자신있어.,그렇게 생각하시는 이유가 있나요?
이제 회사 일을 아들에게 물려줄까해.,은퇴 시기가 온거군요.
종합검진 받았는데 몸이 안좋은 곳이 한두군데가 아니래.,왜 그렇게 안좋아 졌을까요?
온라인에서 만난 사람들과 처음 보는데 편안해.,잘 맞는 사람들인가 봐요.
부모님이 물려주신 땅을 팔지 않고 놔두었는데 최근 땅 값이 크게 올라 돈을 벌게 되었어.,가지고 있던 땅 값이 올라 돈을 벌어 기쁘군요.
최 영감은 나에게 빌린 돈을 꼭 갚을 사람이라고 믿어.,최 영감님을 아주 신뢰하시는군요.
남편이 내가 암이 나을 때까지 옆에서 병간호해 주겠대.,남편분이 병간호해 주시기로 하셨군요.
내가 요양 병원에 있다보니 큰 아들이 반 년만에 병문안을 온다네.,기쁘시겠어요.
엄마가 드디어 재혼하신다고 해서 너무 신이나.,엄마가 재혼하셔서 기분이 좋으시군요.
자주 듣던 라디오에 내 사연을 적어 보냈는데 당첨돼서 받은 돈으로 병원비를 해결할 수 있어서 정말 기뻐.,라디오에 보낸 사연이 당첨돼서 받은 돈으로 병원비를 해결해서 기쁘시군요.
회사에서 우리 팀이 제일 성적이 좋다고 자부할 수 있어.,왜 그렇게 생각하시나요?
나는 예순둘이라는 나이에도 주유소를 운영하고 있어.,많이 행복하시겠어요.
지금 이 회사에 다니고 있다는 것에 충분히 만족스러워.,지금 회사에 만족하시는 것이 무엇 때문인지 말씀해주실 수 있을까요?
은퇴 후에 남편과 세계여행을 다닐 생각을 하니까 너무 기뻐.,은퇴 후 세계여행을 할 생각에 행복해 보이시는군요.
와 정말 다행이다.,좋은 일 있으신가봐요.
오늘 늦둥이를 봤어.,가족이 생기셨군요.
아내는 취업한 딸에게 옷을 사준다고 딸과 쇼핑을 하러 가고 나는 카페에서 느긋하게 기다리고 있어서 기뻐.,카페에서 느긋하게 기다리고 있어서 기쁘시군요.
남편이 따뜻한 마음을 가져서 너무 행복해.,너무 행복하셔서 웃는일도 많으시지요?
몇 년 동안 나를 괴롭히던 유방암이 방사선 치료받고 완치되었어.,유방암으로 힘드셨을 텐데 완치가 되었군요.
게이트볼을 하게 됐는데 재밌는 취미를 새로 갖게 돼서 요새 아주 즐거워.,재미있는 취미를 찾으셨다니 아주 기쁘네요.
우리 손자가 내가 제일 좋다며 병이 빨리 나았으면 좋겠대.,할아버지께  그런 손자가 있으니 얼마나 행복하세요?
부모님 말씀을 더 잘 들을거야.,그거 좋은 생각이네요.
내가 거래하는 증권사 직원이 주식 종목을 콕 집어서 추천해 주어서 내일 장이 시작하면 바로 매수하려고 해.,바로 매수하려고 하시는 걸 보니 그분을 무척 신뢰하시는 것 같네요.
이게 말이 돼.,무슨 일 있으신가요.
오늘 감사하는 일이 생겼어.,무슨 일인가요?
수학 대회를 열심히 준비했더니 만족스러운 결과가 나왔어.,수학 대회에 좋은 결과를 받았다니 축하 드려요.
재무 컨설턴트가 나의 노후 준비가 완벽하다고 말했어.,당신의 행복한 노후가 기대되네요.
일찍 선택한 진로가 나와 정말 잘 맞는 것 같아 만족스러워.,일찍 선택한 진로가 지호님과 잘 맞아 만족스러우시군요.
내년에 학년이 올라가서 반이 바뀌면 친구를 사귈 수 있을 것 같아 기뻐.,내년에는 친구를 사귈 수 있어 기쁘시겠어요.
어제 와이프랑 크게 다퉜어.,무슨 일 있으신가요?
졸업하고 어디로 취업할지 정했어.,취업할 곳을 정하셨다니 축하드려요 어떻게 정하게 되었나요?
결혼한 친구의 도움으로 어렵지 않게 결혼준비를 끝낼 수 있어서 기뻤어.,친구분의 도움으로 무사히 준비를 끝내서 기쁘시군요.
고맙게도 사돈댁에서 건강식품을 잔뜩 보내주셨어.,건강식품을 잔뜩 보내주셨다니 너무 감사하겠어요.
나 중간고사보다 성적이 올라서 기뻐.,성적이 오르셔서 기분이 좋으셨군요.
이번에 산악 동호회에 가입했는데 굉장히 좋은 사람들인 거 같아.,산악 동호회 사람들이 마음에 드셨군요?
나는 내 주변사람들을 신뢰해.,주변인들을 믿고 있군요.
달마다 통장에 연금과 배당 소득이 들어올 것 같아서 마음이 놓인단다.,안정적으로 매달 들어오는 돈이 있어서 다행이에요.
이틀 뒤 우리 아들 내외가 직원 스무 명을 둔 레스토랑을 개업할 거야.,아들 부부가 어떻게 식당을 오픈하게 되었나요?
나 신나는 일이 있어!,무슨 일이신데요?
내가 제안한 기획서로 광고가 만들어진대!,정말 기쁘시고 행복하시겠어요!
아내가 잔병치레는 많지만 큰 병에 걸리지는 않을 것 같아 다행이야.,좀 더 자세히 이야기 해주세요.
내일 친구와 여행을 가기로 해서 기뻐.,친구와 여행을 갈 생각에 기쁘시군요.
좋은 분 분명 만날수 있으실거에요.,사람들 때문에 너무 화가 나.
이번에 내가 로또에 당첨됐어.,로또에 당첨 되셨군요.
오래 다닌 회사에서 은퇴를 해.,은퇴를 하시는구나 기분이 어떻세요.
진로를 부모님이 지지해주셔서 감사하고 있어.,어떻게 부모님이 지원해주셨나요?
생각해보면 학창시절 친구들과도 아직 잘 지내고 있는 것 같아 행복한 기분이 드네.,학창시절 친구들과도 여전히 좋은 사이로 지내고 있으니 기분 좋으시겠어요.
아내는 내게 실망했지만 사랑이 식은 것은 아니라고 말해서 정말 안도했어.,아내 분의 사랑이 식은 건 아니라고 하셔서 안도하셨군요.
이번에 소개팅한 사람과 결혼할 것 같아.,이번에 소개팅하신 분이 마음에 드셨나 봐요.
이번에 진급심사에서 좋은 성적을 받을 거 같아.,진급을 위한 성적이 좋으시군요.
직장에서 일이 너무 많아 스트레스가 쌓여.,그래서 요즘 계속 늦게 퇴근하고 오셨군요.
직원들이 상사인 내 뜻에 잘 따라주어서 다행이야.,직원들이 잘 따라줘서 안도하셨군요.
오늘 너무 기쁜 소식을 들었어!,무슨 일인지 말씀해주시겠어요?
나 우리 집은 화목하고 다툼이 없어서 늘 맘이 편안하지.,관계가 좋은 가정에서 사시면 좋은 점이 많겠어요!
은퇴한 나에게 경제적으로나 심리적으로 남편이 든든히 있어줘서 기뻐.,든든한 남편이 계셔서 정말 기쁘시겠어요.
이번 회사에서 좋은 인연을 많이 만난 거 같아.,어떤 분들이 있으셨나요?
나는 내 재정이 안정적이라고 믿어.,재정 상태가 편안하신가봐요.
나는 가족을 믿어.,그렇게 생각하시는 이유가 있나요?
어제 병원에서 좋은 소식을 들었어.,어떤 소식을 들으셨어요?
내가 이맛에 직장다니지.,좋은일 있으셨어요?
우리 반에는 따돌림 당하는 아이들이 없어.,어째서 그런 아이들이 없나요.
재정이 많이 힘들었는데 그래도 이젠 괜찮아.,원래 많이 안 좋았나요?
이제 학교 편하게 다닐 수 있겠다.,학교에서 무슨 일이 있으셨나요?
손자가 글짓기 대상을 받고 입원중인 아내를 기쁘게 해주었어.,엄청 뿌듯하시겠어요.
저금리 시대여도 은행 예금이 제일 믿을만한 것 같아. ,은행 예금에 신뢰가 있으시군요.
학교에서 따돌림을 당했는데 선생님께서 해결해주셨어.,학교에서 따돌림을 당하셨군요?
이번 건강진단에서 나온 질환 때문에 큰 걱정이야.,건강진단에서 나온 질환 때문에 걱정이시군요.
폐경으로 더 이상 생리를 안 해서 너무 기뻐.,생리를 안 하셔서 기분이 좋으시겠어요.
은퇴를 하니 직장 스트레스도 안 받고 모아둔 돈으로 원하던 생활을 하고 있어서 너무 편해.,은퇴 후 스트레스도 없고 원하는 생활을 해서 기쁘시군요.
오늘 학교 폭력을 신고했어.,더 자세히 말씀해 주실 수 있나요?
졸업을 좀 더 미룰 예정이야.,준비하고 있는 계획이 있나요?
아내가 드디어 출산 하게 되어서 신이 나,아내가 출산 예정이시군요.
나는 건강에 대해 믿어.,건강하시다고 생각하시나봐요.
취업이 잘 안 돼서 여자친구와 결혼 문제도 미루고 있어.,취업 문제로 결혼까지 미루어 힘드시겠어요.
이번 기말고사 성적이 올라서 너무 기뻐.,성적이 올라서 기쁘시군요.
