P,S
노년에 재정적으로 이루어 놓은게 없어서 걱정이야.,나이들어 재정적으로 어려워서 걱정되시는군요.
오늘 친구를 만났는데 정말 실망스러웠어.,친구로부터 실망감을 느끼셨군요.
직장 생활이 갈수록 힘들어.,왜 그런 생각이 드셨나요?
평소 내가 사는 술은 자주 얻어먹는 사람이 내가 사달라고 할때는 정색해,평소 술을 잘 사주는데  내가 사달라고 할때 정색하는군요
뉴스에 계속 경제가 좋지 않다는 뉴스만 나오는데 나도 앞날이 걱정이네.,미래에 대해 걱정이 많으신가 봐요.
내 동생이 크게 사기당해서 모은돈을 다 잃게 생겼어.,너무 슬프실것 같아요.
나중에 귀농하려고 땅을 샀는데 땅값이 폭락했어.,땅값이 떨어져서 안타까우시겠어요.
펀드를 조금만 넣을 걸 그랬나 봐.,펀드 넣은 걸 후회하시는군요.
나는 세상이 어둡고 희망이 없는 거 같아.,그렇게 생각하시는 이유가 있으신가요?
요즘 직장에서 하는 일마다 잘 안풀리다 보니 스트레스가 이만저만이 아니야.,요즘 직장 일이 많이 힘드신가보네요.
이력서를 잘 쓰고 싶은데 이력서에 쓸 내용이 없어서 너무 슬퍼.,이력서에 쓸 내용이 없다니 슬프시겠어요.
석류즙이 갱년기에 효과가 있을까 모르겠네,석류즙이 갱년기에 도움이 될지 의문이 드시는군요
남자친구가 결혼하고 싶어 하지 않아서 실망스러워,남자친구와 결혼에 대한 생각이 달라서 실망하셨군요
후배한테 잘해주지 못해 후회가 돼.,후배한테 잘하지 못하셨나요?
집에만 있으니 대인관계가 단절된 거 같고 너무 답답하다.,외출을 못 해서 힘드시다는 말씀이네요.
노후 준비를 열심히 했는데 결과는 실망스러워.,구체적으로 어떤 부분이 실망스러우신 건가요?
건강에 환멸나.,왜 그러세요?
더 이상 아빠랑 연락하지 않을거야.,아빠랑 연락하지 않으신다니 무슨 일 있으신가요?
내가 은퇴가 얼마 남지 않았는데 내 아이 중 취업한 애들이 한 명도 없어서 막막하고 슬퍼.,은퇴가 얼마 남지 않았는데 취업한 자녀들이 없어서 걱정돼서 슬프시군요?
내가 의욕적으로 진행하고 있는 프로젝트의 진행률이 좋지 않아 실망스러워.,하시고 계시는 일이 잘 안 풀려서 기분이 좋지 않으시군요.
회사가 어려워져서 연봉을 삭감한 뒤 아이들이 달라는 용돈을 못 줘 침울해.,아이들에게 용돈을 못 줘 슬프시군요.
요새 직장에서 일이 너무 많아가지고 업무스트레스가 장난이 아니야 너무슬퍼.,아 그러시군요 일이 많아서 힘드시겠어요.
면접을 잘 봤다고 생각했는데 이번에도 합격하지 못한 것 같아.,결과가 예상과는 다를까봐 긴장 중이군요.
후배들한테 잘해 줘 봤자 고마운 줄을 몰라. ,후배들과의 관계가 보람되지 않았나 보네요.
어렸을 때 앓아온 소아비만이 늙어서도 이렇게 날 힘들게 할 줄은 몰랐어.,소아 비만 때문에 많이 힘드셨겠네요.
요즘 사정이 안 돼서 월세를 밀렸는데 집주인이 바로 방을 비우라고 했어.,바로 방을 비우라고 했다니 너무 슬프시겠어요.
반 친구들이랑 잘 지내고 싶었는데 다들 내가 싫은가 봐.,교우 관계 때문에 많이 힘드신가 봐요.
여윳돈이 생겨서 은행에 이자라도 받을까 하고 갔다가 실망하고 왔네,은행에서 무슨 일이 있으셨나요?
월급 받으면 일부 저축을 해야지 사고 싶은거 다 사는 딸 보면 속상해,월급 받아서 사고 싶다고 사면서 저축 안하는 딸 보면 답답하겠어요
여자친구와의 연애가 가끔 힘들 때가 있어.,여자친구와의 연애가 힘드실 때가 있으시군요.
내 단짝이 내신 때문에 다른 학교로 전학 간대.,단짝분이 전학을 가게 되셔서 속상하시겠어요.
자식들이 주는 용돈만으로 생활이 전혀 안 돼 너무 슬퍼.,용돈으로 생활하기에 어려워 슬프시군요.
요즘 은퇴 이후에 경제적인 여유가 없을 것 같아 걱정이야.,은퇴 후 삶에 대한 걱정이 많으시군요.
여자 친구가 나 말고도 다른 사람을 만나고 있었어.,배신감이 들었겠네요.
이제는 기력이 딸려 아무도 만나고 싶지가 않아,몸도 마음도 많이 힘드신 상태시군요
지난달에 투자했던 주식이 완전 마이너스가 되었어.,투자하셨던 주식이 마이너스가 되셔서 속상하시겠네요.
은퇴를 앞두고 생각해보니 후회되더라.,은퇴를 하시는군요 무엇이 후회가 되시나요.
요새 직장 일이 너무 많아서 힘들어.,직장 일이 많아서 스트레스 받으시나 봐요.
내 꿈은 은퇴 후에 근교 시골에 전원주택을 짓고 사는 거였어.,은퇴 후에 시골에 살고 싶으셨군요.
요즘 들어 자꾸 사는 게 귀찮다는 생각이 들 때가 많아.,왜 그렇게 생각하게 되었는지 말씀해주실 수 있나요?
대학교 졸업 후 이 년 동안 쉬지 않고 열심히 취업 준비를 했어.,쉬지 않고 열심히 준비한 만큼 좋은 결과가 있을 거예요.
친구에게 실망했어,친구에게 실망하셨군요.
출산 때문에 어쩔 수 없이 일을 못 하고 경력 단절이 돼 취업이 힘들어졌어.,출산 때문에 어쩔 수 없이 일을 못 하고 경력 단절이 돼 취업이 힘들어져서 슬프시겠어요.
돈이 왜 필요한지 염세적인 느낌이야.,무슨 일이 있으세요?
본부장님께서 다른 사람들 앞에서 날 꾸짖으셔서 낙담한 기분이 들어.,부하직원들 앞에서 부장님께 혼이 나서 낙담하셨군요.
은퇴하고 친구들과 자주 골프를 치고 있어.,친구 분들과 운동을 자주 하시는군요.
난 더 이상 아기를 가질 수 없대.,크게 실망하셨겠어요.
은퇴 준비나 노후 준비는 남들과 비교가 되니 어떻게 해야 할지 모르겠어.,은퇴나 노후준비가 필요한 분야가 무엇인가요?
아내가 내가 취미로 모으고 있던 물건을 모두 내다 버려서 너무 슬퍼.,아내분께서 취미 생활로 수집하고 있던 물건을 모두 내다 버려서 굉장히 슬프시겠어요.
요즘 자꾸 몸이 가라앉는게 기운이 없어.,어디가 아프신건가요?
친구가 어제 죽었어 너무 슬퍼.,상심이 크시겠어요.
음식점 아르바이트를 하는데 시급을 안 올려줘서 낙담했어.,시급을 안 올려줘서 낙담하셨군요.
출산하고 나니 눈물이 나네.,무엇 때문에 눈물이 나는 걸까요?
오늘 퇴직자 부서이동을 명령받았어.,원하시는 부서로 이동하시는 건가요?
친구가 없어서 너무 외로워.,주변에 친구를 사귈수 있을만한 곳이 없나요?
오늘 또 면접에서 떨어졌네.,결과가 좋지 않아서 걱정이 많으시겠어요.
남자친구와 헤어졌어.,남자친구와 헤어지셔서 마음이 슬프시겠어요.
이번에 우리 과 친구가 교통사고로 죽었어.,과 친구가 불의의 사고로 죽어서 슬프시겠군요.
직장을 다니다 보니 감정이 마비된 기분이야.,직장을 다니다 보니 감정이 마비된 기분이시군요?
관절 기능 문제로 정형외과를 일주일에 세 번이나 갔어.,정말 힘들었겠어요.
오늘 키우던 강아지가 죽어서 너무 슬프다.,정말 상심이 크시겠어요.
우리 부모님은 날 사랑하지 않으시는 것 같아 우울해.,무슨 일로 그렇게 생각하게 되셨나요?
요즘 사람들을 못 만나서 우울해.,왜 못만나세요?
병원에서 안 좋은 소식을 들었어. ,무슨 일이 있으신가요?
정말 중요한 회사 자료를 잃어버렸어.,중요한 자료를 잃어버리셔서 속상하시겠어요.
애들 성적이 안 올라서 고심 중이야.,아이들 문제 때문에 걱정이 많으시군요.
요즘은 나 혼자 살기도 힘들어서 연애도 결혼도 점점 하고 싶지 않아.,혼자 건사하기도 힘든 세상에서 둘이 된다는 것은 부담스러운 일일 것 같아요.
오늘 하루조일 직장 상사가 나에게 너무 스트레스를 줬어.,상사분께서 스트레스를 주셔서 오늘 하루 힘드셨겠어요.
그 친구가 개학을 하면 나에게 아는 척 안할 것 같아.,의도적으로 무시하는 친구가 있나요?
중요한 약속이었는데 실망이 크셨겠네요.,내 친구들이 나를 버렸어.
자취를 시작한 딸이 걱정되고 불안한데 자주 전화해주지 않아서 슬퍼.,딸이 보고 싶을 텐데 자주 전화해주지 않아서 많이 슬프셨겠어요.
사람을 만나기가 싫군.,대인관계를 기피하게 된 원인이 있었나요?
그동안 열심히 연습해온 마라톤 대회에서 옆집 김씨에게 일등을 뺏겨서 슬프고 비통해.,옆집 김씨에게 일등을 빼앗겨서 슬프고 비통한 마음이 드시는군요.
친구가 이민간데 너무 슬퍼.,친구와의 이별이 슬프시겠어요.
가족이 무슨 의미가 있나 싶어.,가족관계에 염세적이시군요.
나 코로나 때문에 직장에서 급여를 차감해서 너무 실망이야.,코로나 때문에 급여가 차감되다니 실망이 크시겠어요.
진짜 이 회사에 오는게 아니었어.,직장다니시는 걸 후회되시는것 같아요.
건강 생각해서 운동하는 참 성가셔.,운동하시는게 싫으신가봐요.
학교에서 따돌림을 당하고 있어.,따돌림을 당하고 있나요.
출퇴근길이 너무 고단해. ,출퇴근 시간이 견디기 어려운가요?
마흔살 넘은 배우자에게 환멸을 느꼈어.,무슨일 있으세요?
요새 정말 눈물이 나.,무슨 일이 있으셨나요?
내가 부족해서 따돌림 당하는건가?,힘든 상황이네요.
암이 또 재발했어.,암이 또 재발하셔서 걱정이 많으시겠어요.
부모님이 이혼을 하신데.,슬프시겠어요.
이번 하반기에는 별다른 성과를 내지 못해서 아쉬워.,성과를 이루지 못해서 아쉽군요.
오늘 친구 하나가 세상을 떠났어.,정말 가슴아픈 소식이네요.
공부도 못하는데 왜 공부를 해야 하는지 모르겠어.,무슨 일이든 처음에는 다들 못하기도 하고 힘들기도 해요.
친하게 지내던 직장동료가 어젯밤 교통사고를 당했다는 얘기를 듣고 주저앉았어.,소식 듣고 많이 놀라셨겠어요.
다들 왜 이렇게 수능 점수에 집착인 지 모르겠어.,수능이 인생의 전부가 아니라는 말씀이시군요.
대인 관계를 어떻게 해야 좋은 걸까?,무슨 일이세요?
요즘 큰일났어.,무슨 일 있으신가요?
이제는 다 포기했어.,무엇을 포기하셨는지 알 수 있을까요?
친한 친구가 어제 죽어서 너무 슬프네.,친한 친구가 죽음은 정말 슬픈 일이라고 생각해요.
건강 이상신호가 몸 여기저기에서 보여서 걱정돼.,몸에 이상이 생기셔서 힘드시겠어요.
별 것 아닌 실수로 상사에게 부하직원들 앞에서 욕을 먹었다,부하직원들 앞에서 상사에게 욕을 먹어서 부끄러우셨겠어요
부모님께 미리 잘 해드리지 못한 것이 후회되지만 너무 늦은 것 같아.,후회하기엔 늦다고 생각하시는군요.
호르몬 때문인가 요즘 별 것도 아닌거에 눈물이 나네.,갱년기가 와서 많이 힘드시겠어요.
조만간 은퇴해야 하는데 재정적으로 노후준비가 전혀 안 되어 있어서 큰일이야.,은퇴하시는데 아직 노후준비를 하나도 안 해두신 건가요?
대학생인데 엠티에 안 가서 너무 후회돼.,어떠한 후회인가요?
내가 다시 아파서 입원을 하게되면 내 자식들이 나를 더이상 찾지 않을거같아서 너무 슬프구나.,자제분들이 아픈 본인에게 돈을 쓰기 싫어 더이상 찾지 않을거 같아서 슬프시군요.
아들이 나를 닮아 머리가 빠지기 시작해서 너무 미안해.,아들도 탈모가 시작되어 많이 속상하시고 미안하셨겠네요.
나보다 못한 동료들이 나보다 빨리 승진해서 의지를 잃고 너무 슬퍼.,본인보다 못한 동료들이 먼저 승진해서 굉장히 낙담하시겠어요.
내가 암에 걸려서 세상에 대한 미움이 생겼어.,갖고 있는 병 때문에 염세적인 생각이 드시는군요.
왜 그렇게 생각하세요?,그냥 아무 이유 없어.
친구랑 사이가 안좋아져서 너무 속상해.,친구분이랑 관계가 안좋아져서 속상하신가 봐요.
내가 가장 좋아하는 차장님이 타 부서로 발령이 나서 너무 슬퍼.,좋아하는 상사분이 타 부서로 발령이 나서 슬프시군요.
돈이 너무 없어서 우울해.,돈을 보통 어디에 쓰시나요?
친구라 생각했던 사람이 뒤에서 나에 대한 험담을 하고 있었어.,친구라 생각했는데 배신감이 크실 것 같아요.
얼마 전에 결혼을 결국 취소했어.,결혼이 취소되셔서 속상하시겠어요.
대인관계가 마비됐어.,대인관계가 왜 마비됐다고 생각하시나요.
학교에서 맞고 따돌림당해서 학교 다니기가 무서워.,주변 분들에게 말은 해봤나요?
친구들은 다 진로를 결정했는데 나만 뭘 해야할지 모르겠어서 너무 속상해.,진로를 정하지 못해 많이 속상하신가봐요.
친구들은 다 꿈을 향해 나아가는데 나만 제자리인 거 같아서 너무 불안해.,혼자만 제자리인 거 같아 슬프시겠어요.
친구랑 싸워서 비통한 감정이 들어.,힘들고 마음이 아프시겠어요.
가장 친했던 동료가 과로로 쓰러졌어.,동료분께서 과로로 쓰러지셨군요.
내가 내는 기안서를 상사가 당연히 한 번에 승낙해 줄 리 없어서 슬퍼.,매번 상사가 기안서를 한 번에 승인을 안 해줘서 슬프군요.
요즘 나이를 먹을수록 점점 내가 능력이 부족한 거 같고 낙담하게 돼.,그렇게 생각하는 이유가 있을까요?
내 나이에 어느 회사를 가야 하며 노후준비를 어떻게 해야 하는지.,미래에 대해 많이 걱정되시는군요.
나와 같은 병실을 쓰던 사람이 갑자기 의식을 잃은 뒤 사망하니 나도 걱정도 우울감에 빠졌어.,같은 병실 사람이 갑자기 사망해 마음이 불안하군요.
학교에서 아이들이 나를 때리는데 난 엎드린 채로 아무것도 할 수 없어서 슬펐어.,그 상황을 해결할 수가 없어서 슬프셨군요.
항암치료를 받아야 하는데 너무 괴로울 것 같아서 무서워.,힘들까봐 많이 무섭군요.
중학교 동창이 안타깝게 죽어서 장례식장에 다녀오는 길이야.,어떤 사유로 사망하신 건가요?
내 진로가 마비된 느낌이야.,왜 그런 느낌이 드셨나요?
어릴 적 부모님과 형제자매가 함께 지내던 시절이 그리워져서 슬퍼.,무엇이 슬픔을 느끼도록 만들었나요?
최종면접에서 떨어졌어.,최종면접 결과가 좋지 않다니 마음이 좋지 않으시겠어요.
계약기간이 만료됐는데 뽑히지 못해 눈물이 날 것 같아.,조금 더 자세히 말씀해 주시겠어요?
평생을 함께한 와이프가 요즘 많이 아파서 걱정이야.,이런 아내분이 편찮으시군요 병원은 가보셨나요?
엄마는 오직 성적을 기준으로 나와 동생을 차별해서 내가 너무 서러워.,성적을 기준으로 동생과 비교당하여 서럽겠어요.
나이가 먹으니 직장생활이 너무 힘들고 막막해.,나이로 인해 직장생활이 힘드시군요.
이제 여기서 일할 수 있는 시간이 얼마 남지 않은 것 같은데 이직이 쉽지 않네.,조금 더 자세하게 말씀해주시겠어요?
내가 기대한 회사와 현실의 회사가 다르니 상당히 환멸이 난다.,이상과 현실이 다르다는 말이 있다고 하지만 마음이 편치 않겠어요.
결혼하고 싶은데 살 집을 못 구하고 있어서 우울해.,신혼집 마련 문제 때문에 힘드시군요.
손주가 좋아하는 음식점에서 기계로 주문하는 법을 모르겠구나!,기계로주문하는 방법을 몰라서 당황하셨겠네요.
친구가 나 몰래 공부를 해서 좋은 점수를 받아서 어이가 없어.,친구분이 예상치 못하게 좋은 점수를 받아서 당황스러우시겠어요.
괜히 결혼 한 것 같아.,결혼을 후회하시나 봐요.
이번에 출산을 했는데 와이프가 하늘나라로 떠났어.,상심이 정말 크시겠어요.
요즘은 내 앞에서도 싸워.,재산때문에요?
코로나 때문에 사람들과의 관계가 멈춰버린 기분이 들어.,이러한 기분을 극복하려면 어떻게 하는 게 좋을까요?
야근으로 몸이 피곤하니 모든 게 귀찮아.,야근으로 몸이 피곤해서 모든 게 귀찮게 느껴지시는군요.
직장에 일이 있어 가족들과 휴가를 떠나질 못했어.,휴가를 떠난 가족들은 어디로 가셨나요?
돈을 버는데 수중에는 항상 돈이 없고 나갈 일만 산떠미야,돈을 아무리 모아도 빠져 나가기만 하니 지긋지긋 하겠어요
반에서 따돌림을 당하는데 모두 방관만 하더라.,반 친구들이 도와주지 않아 비통하셨겠어요.
차를 사고 싶은데 돈이 없어서 슬퍼.,자동차를 사면 편리하긴한데 너무 비싸죠.
이세상에서 나만 연애도 못하고 결혼도 못하고 지내는 것 같애.,혼자만 연애와 결혼을 하지 못하는 것 같다고 느끼시는군요.
